project_id,project_name,sponsor,county,announced_mw,announcement_date,site_control_evidence,site_control_source_url,site_control_capture_date,site_control_status,physical_commitment_evidence,physical_commitment_source_url,physical_commitment_capture_date,physical_commitment_status,financial_commitment_evidence,financial_commitment_source_url,financial_commitment_capture_date,financial_commitment_status,incentive_filings_evidence,incentive_filings_source_url,incentive_filings_capture_date,incentive_filings_status,sponsor_track_record_evidence,sponsor_track_record_source_url,sponsor_track_record_capture_date,sponsor_track_record_status,inferred_flags,evidence_md,last_updated
11,Childress Campus,Crusoe Energy / Lancium,Childress County,1000,TBD 2024,"270 acres owned outright by Lancium per company release, same structure as Abilene",https://www.crusoe.ai/resources/newsroom/crusoe-and-lancium-announce-1-gigawatt-ai-data-center-campus-in-childress-texas,2026-08-05,evidence found - strong,"Searched specifically; found Crusoe's Armstrong/Abilene permits instead - dead end for Childress specifically",n/a,2026-08-05,no evidence found (dead end),"Co. states '1GW grid interconnect fully approved by ERCOT'; self-disclosed, not independently verifiable",n/a,2026-08-05,evidence found - partial (self-disclosed),"Lancium listed on Comptroller registry w/ 'Childress' EXPLICITLY named - clearest direct match found",https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,2026-08-05,evidence found - strong direct match,"Explicitly 2nd site using 'same partnership structure established in Abilene' per co's own release - direct precedent",n/a,2026-08-05,evidence found - positive (direct precedent),,evidence/11-crusoe-lancium-childress.md,2026-08-05
12,Corsicana Facility,Riot Platforms,Navarro County,1000,2024-04-01,"Sequential SEC-disclosed purchases: 265ac (~2022) + 355ac (May 2025) + 238ac (Jul 2025) = 858ac total",https://www.datacenterdynamics.com/en/news/riot-platforms-acquires-additional-238-acres-at-corsicana-texas-campus/,2026-08-05,evidence found - strong,"TDLR permit for 'Project Ditto', $400M, 335430 sqft bldg, 698 FM 709 Corsicana; TCEQ air permit not found",https://mlq.ai/news/riot-platforms-files-400m-permit-for-new-data-center-building-at-corsicana-texas-campus/,2026-08-05,evidence found - strong,"'First 1GW load ever approved by ERCOT' - claim independently repeated across multiple trade press outlets, not just Riot's own materials",https://www.riotplatforms.com/investors/news-events/press-releases/detail/139/riot-announces-groundbreaking-at-1-gw-data-center-facility,2026-08-05,evidence found - strongest in universe,"Riot listed on Comptroller registry, 'Corsicana (multiple), Rockdale (multiple)' - direct match",https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,2026-08-05,evidence found - strong direct match,"Delivered initial 400MW on schedule by Apr 2024 per own SEC filings; auditable via SEC status",n/a,2026-08-05,evidence found - positive/auditable,,evidence/12-riot-platforms-corsicana.md,2026-08-05
13,Panhandle Campus - Armstrong County,Google,Armstrong County,not disclosed,2025-11-14,"1300 acres near Claude TX; construction underway by contracted builder Crusoe Energy",https://amarillotribune.org/2025/11/16/google-to-add-data-center-to-armstrong-county/,2026-08-05,evidence found,"Crusoe TCEQ permit for 'Goodnight Data Center Power Plant', up to 933MW/10 turbines, filed ~2026-02-05, explicitly to power co-located Google DC",https://oilandgaswatch.org/alert/rec_d64au9u349rifoo9o9u0,2026-08-05,evidence found - strong direct tie,"$40B statewide TX PPA/investment umbrella disclosed; no Armstrong-specific $ figure found",n/a,2026-08-05,evidence found - partial (statewide only),"Google entries on Comptroller registry (Alamo/Cinco/Hutto/Sharka) don't obviously map to Armstrong/Claude by name - inconclusive, not confirmed non-match",https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,2026-08-05,inconclusive - needs manual verification,"Google - one of world's most experienced hyperscale operators, decades-long documented record",n/a,2026-08-05,evidence found - strongest tier,,evidence/13-google-armstrong-county.md,2026-08-05
14,Panhandle Campus - Haskell County,Google,Haskell County,not disclosed,2025-11-14,"Naming ambiguity: 'Journey' (north) vs 'Thelma' (south) vs 2024 'Musselman Tech' acquisition - unclear if same or different sites; ~300ac cited for unspecified site",https://baxtel.com/data-center/google-south-haskell-campus,2026-08-05,evidence found - partial/ambiguous,"Searched under both 'Thelma' and 'Journey' names - dead end, no TCEQ docket found",n/a,2026-08-05,no evidence found,"Same statewide $40B umbrella as #13; one facility reportedly paired w/ dedicated solar+battery plant",n/a,2026-08-05,evidence found - partial (statewide only),Same inconclusive situation as #13 - Google registry entries don't map to Haskell by name,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,2026-08-05,inconclusive - needs manual verification,Same as #13 - Google's global record applies,n/a,2026-08-05,evidence found - strongest tier,"site-naming ambiguity (Journey/Thelma/Musselman) unresolved; may affect the dropped-3rd-site decision in candidate_universe.md",evidence/14-google-haskell-county.md,2026-08-05
15,Project Caprock,Aligned Data Centers,Hale County,540,2026-04-09,"313-acre site near Abernathy, self-reported; no CAD confirmation",https://www.globenewswire.com/news-release/2026/04/09/3271435/0/en/Aligned-Data-Centers-Breaks-Ground-on-Project-Caprock-a-Sustainable-540-MW-Next-Generation-Data-Center-Campus-in-Northwest-Texas.html,2026-08-05,evidence found - partial/self-reported,No TCEQ docket found specific to Caprock - dead end,n/a,2026-08-05,no evidence found,"$5B regional investment disclosed; Aligned self-funding dedicated electrical infra w/ Xcel Energy (named utility)",n/a,2026-08-05,evidence found - partial,"Aligned listed on Comptroller registry as 'Abernathy (LBB01)' - exact name match to Caprock's own building name",https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,2026-08-05,evidence found - strong direct match,"Established multi-market US operator (Macquarie-backed), strong general reputation; specific citations not pulled",n/a,2026-08-05,evidence found - partial (general reputation only),,evidence/15-aligned-project-caprock.md,2026-08-05
16,Denton Campus (CoreWeave expansion),Core Scientific,Denton County,391,TBD 2025,"City of Denton leases 78.85ac city land + orig. 31ac owned + 42.9ac expansion; confirmed via Denton City Council action 2024-11-19",https://dentonrc.com/news/denton_municipal_electric/core-scientific-which-has-a-denton-ai-data-center-will-be-sold-to-n-j/article_d0b3318b-303e-4543-b3ad-55f3bfcb5e58.html,2026-08-05,evidence found - strong (govt-counterparty confirmed),"No specific TCEQ docket found; site operating since 2022 presumably holds permits, not surfaced",n/a,2026-08-05,no evidence found (dead end, not absence),"$1.2B CoreWeave contract expansion; $6.1B total real-property investment; $194M projected 10-yr property tax to City of Denton",https://investors.corescientific.com/news-events/press-releases/detail/110/core-scientific-and-coreweave-announce-1-2-billion-expansion-at-denton-tx-site,2026-08-05,evidence found - strong,"Core Scientific on Comptroller registry as 'Cottonwood, Cedarvale' - doesn't obviously match Denton - inconclusive",https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,2026-08-05,inconclusive - needs manual verification,"Operated Denton site since 2022 without major incident (positive); but co. went through Ch.11 bankruptcy 2022-2023 (negative); now being acquired by CoreWeave (~$9B deal)",https://www.tipranks.com/news/bitcoin-miner-marathon-digital-nasdaqmara-to-restate-results-cites-accounting-errors,2026-08-05,evidence found - mixed,sponsor identity changing (CoreWeave acquiring Core Scientific),evidence/16-core-scientific-denton.md,2026-08-05
17,Barber Lake,Cipher Mining,Mitchell County,300,2024-09-01,"Acquisition closed Sept 2024, $67.5M cash + $3/MWh variable fee, 587 acres, via SEC-adjacent PR",https://seekingalpha.com/pr/19857490-cipher-mining-announces-the-closing-of-its-acquisition-of-barber-lake-300-mw-data-center-site,2026-08-05,evidence found - strong,"'Barber Lake Cipher Portable Plant' TCEQ air-quality permit activity found (construction-support/temporary equip); exact permit # not found",n/a,2026-08-05,evidence found - partial,"10-yr Fluidstack HPC deal: ~$830M contracted revenue, up to $9.0B potential lease value, $333M Google backstop",https://www.theminermag.com/news/2025-11-20/cipher-fluidstack-hpc,2026-08-05,evidence found - strong,"Cipher listed on Comptroller registry as 'Odessa, Black Pearl, Barber Lake' - exact site-name match",https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,2026-08-05,evidence found - strong direct match,"Delivered Barber Lake acquisition-to-fully-leased in ~14 months (Sept 2024-Nov 2025), SEC-auditable",n/a,2026-08-05,evidence found - positive/auditable,,evidence/17-cipher-mining-barber-lake.md,2026-08-05
18,Irving Campus,PowerHouse Data Centers,Dallas County,201,TBD 2025,"50-acre purchase w/ Harrison Street, announced 2024-05-15, specific address (111 Customer Way)",https://www.prnewswire.com/news-releases/powerhouse-closes-on-irving-las-colinas-site-entering-dallas-fort-worth-market-to-develop-new-state-of-the-art-data-center-campus-302146528.html,2026-08-05,evidence found - partial,"'Topped out' construction milestone reported, implies permits in place; no TCEQ docket found",https://www.datacenterdynamics.com/en/news/powerhouse-tops-out-first-irving-data-center-in-texas/,2026-08-05,evidence found - partial,"Immediate access to adjacent Oncor substation (named utility); no specific $ figure found",n/a,2026-08-05,evidence found - partial,Checked JETI and Comptroller registry - no match on either,n/a,2026-08-05,no evidence found,"Same sponsor as Ellis Co. project (#5), concurrently executing 2 TX campuses; reached milestone on schedule",n/a,2026-08-05,evidence found - partial/positive,,evidence/18-powerhouse-irving-dallas.md,2026-08-05
19,Garden City Facility,Marathon Digital (MARA),Glasscock County,200,2024-03-15,"Definitive agreement 2024-03-15, $87.3M net/$97.3M gross, both public-co IR releases (MARA + APLD)",https://ir.mara.com/news-events/press-releases/detail/1347/marathon-digital-holdings-enters-definitive-agreement-to-acquire-200-megawatt-bitcoin-mining-data-center-adjacent-to-a-wind-farm,2026-08-05,evidence found - strong,"No specific TCEQ docket found; site operating since 2023 presumably holds permits, not surfaced",n/a,2026-08-05,no evidence found (dead end, not absence),"Powered by stranded/flared natural gas from adjacent oil wells (documented arrangement, not a $ figure); no interconnection fee found",n/a,2026-08-05,evidence found - partial,"Not on JETI list; explicitly NOT found in Comptroller registry matches (real dead end, named in 'not found' category)",https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,2026-08-05,no evidence found (confirmed dead end),"MARA: SEC accounting restatements (2021, Q1-Q3 2022), cancelled Q4-2022 earnings call (negative); Garden City itself operated w/o major incident since 2023 (positive)",https://www.tipranks.com/news/bitcoin-miner-marathon-digital-nasdaqmara-to-restate-results-cites-accounting-errors,2026-08-05,evidence found - mixed,,evidence/19-marathon-garden-city.md,2026-08-05
20,Kaufman County Campus,Prometheus Hyperscale,Kaufman County,200,TBD 2025,"~500-acre site btwn Talty and Post Oak Bend City, self-reported; no CAD confirmation",n/a,2026-08-05,evidence found - partial/self-reported,"Jenbacher J620 engines + Engie battery storage disclosed as planned; no TCEQ docket found",n/a,2026-08-05,no evidence found,"Named commercial partnerships w/ ENGIE and Conduit Power; no $ figure for Kaufman site specifically",n/a,2026-08-05,evidence found - partial,Checked JETI and Comptroller registry - no match on either,n/a,2026-08-05,no evidence found,"Founder Thornock has NO direct prior data-center background (industrial/energy-finance career); backfilled w/ ex-BP CEO Looney (Chairman/CEO) and ex-Meta/Equinix Faccone (infra delivery); other flagship project (Wyoming) also undelivered",https://cowboystatedaily.com/2026/04/01/former-bp-ceo-to-lead-prometheus-hyperscales-30b-wyoming-data-center-buildout/,2026-08-05,evidence found - mixed,,evidence/20-prometheus-kaufman-county.md,2026-08-05
21,Bosque County Campus,Energy Capital Partners + KKR / CyrusOne,Bosque County,190,2025-07-30,"Site adjacent to Calpine's Thad Hill Energy Center; no acreage/deed figure found",n/a,2026-08-05,no evidence found (location only),"No Bosque-specific TCEQ docket found for new facility; adjacent Thad Hill plant's existing permits are not evidence for the new DC infrastructure",n/a,2026-08-05,no evidence found,"CyrusOne/Calpine 190MW (Jul 2025) + 210MW phase2 (Nov 2025) = 400MW power supply agreement, ~$4B total investment, ECP/KKR/CyrusOne JV",https://www.calpine.com/calpine-and-cyrusone-announce-thad-hill-energy-center-powered-land-to-support-hyperscale-data-center-development-in-texas/,2026-08-05,evidence found - strong,"CyrusOne on Comptroller registry as 'Houston West III, San Antonio' - no Bosque match; may simply be too new to be registered yet (announced Jul 2025)",https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,2026-08-05,inconclusive - needs manual verification,"CyrusOne well-established long-operating developer; KKR/ECP major institutional investors - strong general reputation, no specific citations pulled",n/a,2026-08-05,evidence found - partial (general reputation only),,evidence/21-ecp-kkr-cyrusone-bosque-county.md,2026-08-05
